epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4603,1.45555,1.7691,0.97484,0.3942,0.28406,0.27242,0.16265,1.32164,1.08849,0.9164,0.00330065,0.00330065,0.00330065
2,61.1305,1.41409,1.13418,0.93961,0.38479,0.32474,0.30593,0.17756,1.38512,1.27542,0.93143,0.00656831,0.00656831,0.00656831
3,88.7899,1.45477,1.1247,0.95116,0.40592,0.27618,0.2735,0.15341,1.49428,1.36088,0.97017,0.00976997,0.00976997,0.00976997
4,116.166,1.46763,1.12568,0.95528,0.37464,0.27273,0.25069,0.13815,1.5068,1.23695,0.9702,0.009703,0.009703,0.009703
5,143.588,1.42656,1.07432,0.95189,0.42075,0.26942,0.27817,0.16138,1.42619,1.19826,0.95705,0.009604,0.009604,0.009604
6,170.954,1.37785,1.02608,0.94316,0.404,0.32266,0.31285,0.18115,1.37639,1.05388,0.93408,0.009505,0.009505,0.009505
7,198.157,1.35384,0.99075,0.93162,0.42089,0.31684,0.31427,0.18349,1.35191,1.07232,0.93003,0.009406,0.009406,0.009406
8,225.487,1.33542,0.9796,0.93117,0.45016,0.33571,0.33969,0.19867,1.32832,1.01893,0.92584,0.009307,0.009307,0.009307
9,252.827,1.32364,0.95098,0.92354,0.44177,0.35333,0.35034,0.20828,1.30087,1.02909,0.91905,0.009208,0.009208,0.009208
10,279.931,1.30711,0.92867,0.92334,0.45741,0.3589,0.3581,0.21428,1.29629,0.99066,0.91555,0.009109,0.009109,0.009109
11,307.139,1.28585,0.9229,0.92093,0.48119,0.36009,0.36775,0.22046,1.27018,0.96421,0.91351,0.00901,0.00901,0.00901
12,334.646,1.29049,0.90214,0.91731,0.4832,0.36361,0.37141,0.21986,1.27556,0.93354,0.91153,0.008911,0.008911,0.008911
13,362.749,1.27026,0.88387,0.91083,0.48135,0.37762,0.38225,0.22824,1.24526,0.92757,0.90469,0.008812,0.008812,0.008812
14,390.996,1.24187,0.87303,0.90487,0.48225,0.36854,0.38046,0.2261,1.26137,0.93085,0.91035,0.008713,0.008713,0.008713
15,418.61,1.24886,0.86978,0.90679,0.48059,0.36814,0.37488,0.22509,1.24872,0.91795,0.90356,0.008614,0.008614,0.008614
16,446.851,1.22905,0.84977,0.90796,0.5017,0.39012,0.40434,0.24535,1.21594,0.89121,0.89959,0.008515,0.008515,0.008515
17,474.183,1.22905,0.85738,0.9017,0.52227,0.3817,0.39731,0.24121,1.21648,0.89389,0.90043,0.008416,0.008416,0.008416
18,501.319,1.2053,0.82854,0.90274,0.51986,0.39409,0.40511,0.24486,1.20499,0.89329,0.89685,0.008317,0.008317,0.008317
19,529.31,1.2101,0.82758,0.90173,0.50284,0.39194,0.40315,0.24155,1.22352,0.88708,0.90307,0.008218,0.008218,0.008218
20,557.081,1.21268,0.82347,0.89869,0.52822,0.39182,0.40951,0.24778,1.20012,0.8754,0.89458,0.008119,0.008119,0.008119
21,584.154,1.19318,0.80228,0.89919,0.5176,0.39835,0.41244,0.25108,1.20091,0.86556,0.89238,0.00802,0.00802,0.00802
22,611.448,1.21689,0.80939,0.89321,0.53001,0.40933,0.4204,0.25425,1.21056,0.86282,0.89458,0.007921,0.007921,0.007921
23,641.461,1.18326,0.80128,0.89562,0.54065,0.40296,0.4242,0.26022,1.19437,0.85286,0.89421,0.007822,0.007822,0.007822
24,668.527,1.18181,0.79949,0.8939,0.51495,0.40926,0.42043,0.255,1.19601,0.85344,0.89192,0.007723,0.007723,0.007723
25,695.64,1.19047,0.78742,0.89341,0.53208,0.40533,0.42393,0.25825,1.1841,0.84948,0.89129,0.007624,0.007624,0.007624
26,722.728,1.16611,0.77018,0.88936,0.53238,0.39946,0.4167,0.25468,1.19018,0.86167,0.88954,0.007525,0.007525,0.007525
27,750.054,1.16312,0.77016,0.88891,0.54198,0.4125,0.43053,0.26486,1.17379,0.84064,0.88619,0.007426,0.007426,0.007426
28,777.666,1.16297,0.77372,0.88809,0.54474,0.41125,0.43104,0.26294,1.17421,0.84014,0.88868,0.007327,0.007327,0.007327
29,804.771,1.165,0.76284,0.88765,0.53179,0.41991,0.42759,0.26175,1.18704,0.84579,0.8908,0.007228,0.007228,0.007228
30,831.894,1.15956,0.75743,0.88985,0.5291,0.42292,0.4322,0.26582,1.1671,0.82799,0.88664,0.007129,0.007129,0.007129
31,859.558,1.15374,0.75822,0.88297,0.53849,0.41268,0.43023,0.26749,1.16234,0.84371,0.88527,0.00703,0.00703,0.00703
32,886.799,1.153,0.75398,0.88614,0.54682,0.42566,0.43926,0.27114,1.15773,0.82424,0.88239,0.006931,0.006931,0.006931
33,913.752,1.13999,0.74149,0.88288,0.53289,0.42536,0.43689,0.26863,1.16959,0.83179,0.88602,0.006832,0.006832,0.006832
34,941.165,1.13556,0.73065,0.88105,0.5398,0.42345,0.43953,0.27292,1.1545,0.82293,0.88246,0.006733,0.006733,0.006733
35,968.355,1.14843,0.73606,0.88211,0.56267,0.42007,0.44391,0.27104,1.15877,0.81557,0.88179,0.006634,0.006634,0.006634
36,995.432,1.14016,0.73556,0.88723,0.55513,0.41125,0.4357,0.26869,1.1662,0.82611,0.8832,0.006535,0.006535,0.006535
37,1022.58,1.13201,0.72716,0.87912,0.5446,0.43423,0.44673,0.27566,1.16011,0.81946,0.88348,0.006436,0.006436,0.006436
38,1050.15,1.11703,0.71649,0.87597,0.56353,0.4208,0.44513,0.27451,1.15199,0.81419,0.88195,0.006337,0.006337,0.006337
39,1078.71,1.12956,0.7195,0.87869,0.54793,0.43483,0.44626,0.27373,1.14965,0.81755,0.88108,0.006238,0.006238,0.006238
40,1105.78,1.11527,0.70731,0.87582,0.55397,0.43303,0.45057,0.27698,1.14932,0.81311,0.88077,0.006139,0.006139,0.006139
41,1133.01,1.12084,0.70228,0.87609,0.55569,0.43344,0.45109,0.27847,1.14763,0.8076,0.88073,0.00604,0.00604,0.00604
42,1160.13,1.13279,0.71104,0.8714,0.55012,0.42624,0.45015,0.27624,1.15035,0.80943,0.88334,0.005941,0.005941,0.005941
43,1188.07,1.10808,0.69591,0.87449,0.55044,0.43201,0.44877,0.27697,1.14929,0.81323,0.88184,0.005842,0.005842,0.005842
44,1215.35,1.10759,0.69551,0.87381,0.55988,0.43579,0.45153,0.2782,1.14424,0.81163,0.87882,0.005743,0.005743,0.005743
45,1242.7,1.10286,0.68478,0.87563,0.56632,0.43329,0.45106,0.27807,1.14247,0.81701,0.88036,0.005644,0.005644,0.005644
46,1269.83,1.10445,0.68825,0.87418,0.56367,0.43822,0.45724,0.2815,1.14629,0.80844,0.87929,0.005545,0.005545,0.005545
47,1297.01,1.093,0.67761,0.87179,0.55352,0.43276,0.45122,0.27871,1.15386,0.81142,0.88019,0.005446,0.005446,0.005446
48,1324.17,1.08061,0.66851,0.86907,0.56096,0.43619,0.4522,0.27807,1.14785,0.80966,0.88039,0.005347,0.005347,0.005347
49,1351.47,1.08166,0.66834,0.86996,0.55442,0.43457,0.44904,0.27535,1.15766,0.815,0.88386,0.005248,0.005248,0.005248
50,1378.73,1.08122,0.6643,0.86759,0.56225,0.4329,0.45119,0.27974,1.14061,0.80367,0.87951,0.005149,0.005149,0.005149
51,1405.4,1.07709,0.65852,0.86664,0.56379,0.4356,0.45687,0.28352,1.14039,0.79772,0.87945,0.00505,0.00505,0.00505
