epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6813,1.48109,1.80611,0.99141,0.35958,0.28031,0.26272,0.15531,1.34598,1.1324,0.91724,0.00330065,0.00330065,0.00330065
2,50.175,1.43146,1.16597,0.93615,0.38047,0.3199,0.29258,0.16754,1.38371,1.18975,0.92045,0.00656831,0.00656831,0.00656831
3,71.798,1.46613,1.14831,0.94608,0.36493,0.28463,0.25921,0.14423,1.51024,1.28648,0.97357,0.00976997,0.00976997,0.00976997
4,93.3252,1.48254,1.14924,0.94995,0.35268,0.27632,0.25105,0.1394,1.46365,1.23516,0.95971,0.009703,0.009703,0.009703
5,114.806,1.43659,1.09536,0.94392,0.39597,0.28889,0.27825,0.15851,1.46057,1.19759,0.94903,0.009604,0.009604,0.009604
6,136.985,1.39248,1.04121,0.93755,0.41203,0.31303,0.30519,0.1752,1.41389,1.11611,0.93278,0.009505,0.009505,0.009505
7,158.278,1.36604,1.00749,0.92572,0.42072,0.32855,0.31972,0.18603,1.35639,1.11254,0.92491,0.009406,0.009406,0.009406
8,179.945,1.3474,0.99518,0.92436,0.43278,0.33568,0.32976,0.19026,1.34027,1.03609,0.92549,0.009307,0.009307,0.009307
9,201.446,1.33428,0.97087,0.9179,0.45702,0.34822,0.35287,0.20843,1.30449,1.03933,0.91312,0.009208,0.009208,0.009208
10,223.131,1.32073,0.94841,0.9175,0.45004,0.35472,0.34945,0.20589,1.31211,1.00033,0.91076,0.009109,0.009109,0.009109
11,244.418,1.30235,0.94198,0.91567,0.47746,0.3629,0.36535,0.21605,1.283,0.97236,0.90568,0.00901,0.00901,0.00901
12,266.295,1.30073,0.91994,0.91072,0.47909,0.35564,0.35809,0.20886,1.30874,0.9599,0.90862,0.008911,0.008911,0.008911
13,287.478,1.2859,0.9044,0.90615,0.4867,0.37371,0.37966,0.22514,1.25996,0.94121,0.90225,0.008812,0.008812,0.008812
14,308.727,1.25655,0.89379,0.90007,0.47724,0.37194,0.37308,0.22228,1.26778,0.95163,0.90493,0.008713,0.008713,0.008713
15,331.205,1.26662,0.88912,0.90292,0.49119,0.3753,0.3842,0.23045,1.25319,0.92566,0.90009,0.008614,0.008614,0.008614
16,352.32,1.24477,0.86723,0.90363,0.50801,0.37079,0.38858,0.23447,1.24825,0.92549,0.8993,0.008515,0.008515,0.008515
17,373.904,1.24171,0.87606,0.89694,0.50379,0.38801,0.39576,0.23821,1.23367,0.91599,0.89533,0.008416,0.008416,0.008416
18,395.027,1.21985,0.84726,0.89738,0.52528,0.37532,0.39201,0.23602,1.23929,0.91474,0.89809,0.008317,0.008317,0.008317
19,416.082,1.22295,0.84567,0.89662,0.50985,0.38835,0.39982,0.24176,1.22399,0.89865,0.89326,0.008218,0.008218,0.008218
20,437.268,1.2299,0.84123,0.89581,0.51011,0.38682,0.40379,0.24118,1.22255,0.90369,0.89424,0.008119,0.008119,0.008119
21,458.332,1.21034,0.82052,0.89527,0.50744,0.37699,0.39462,0.23928,1.22786,0.89902,0.89332,0.00802,0.00802,0.00802
22,480.626,1.2311,0.83053,0.89005,0.50283,0.39756,0.40357,0.24275,1.22594,0.8791,0.89129,0.007921,0.007921,0.007921
23,502.477,1.19742,0.81866,0.89103,0.52265,0.38977,0.40967,0.24679,1.22168,0.88562,0.89364,0.007822,0.007822,0.007822
24,524.045,1.19657,0.81948,0.89008,0.50934,0.39403,0.40936,0.24693,1.21324,0.87529,0.88951,0.007723,0.007723,0.007723
25,545.455,1.20777,0.81117,0.89035,0.52553,0.39724,0.41623,0.25253,1.19188,0.86821,0.88685,0.007624,0.007624,0.007624
26,566.709,1.18085,0.7919,0.88665,0.5328,0.39508,0.41188,0.25017,1.20484,0.87531,0.89188,0.007525,0.007525,0.007525
27,587.692,1.1799,0.78923,0.8862,0.53003,0.41365,0.42455,0.25694,1.19232,0.86255,0.88706,0.007426,0.007426,0.007426
28,609.04,1.17726,0.79291,0.88455,0.53139,0.40549,0.42021,0.25754,1.18824,0.85984,0.88514,0.007327,0.007327,0.007327
29,631.109,1.18143,0.78197,0.88448,0.52187,0.40974,0.42219,0.25865,1.19125,0.85571,0.88523,0.007228,0.007228,0.007228
30,652.558,1.1748,0.77623,0.886,0.5357,0.40384,0.42126,0.25717,1.18292,0.85816,0.8833,0.007129,0.007129,0.007129
31,674.186,1.16924,0.77883,0.88065,0.53047,0.4075,0.42282,0.25725,1.19542,0.86136,0.88839,0.00703,0.00703,0.00703
32,696.068,1.16963,0.77653,0.88523,0.53033,0.41534,0.42383,0.25798,1.193,0.85886,0.88725,0.006931,0.006931,0.006931
33,717.136,1.15474,0.75923,0.88004,0.54978,0.40905,0.42781,0.26227,1.18093,0.85056,0.88434,0.006832,0.006832,0.006832
34,738.3,1.14942,0.75097,0.87906,0.54545,0.40932,0.4319,0.26413,1.18533,0.84024,0.8851,0.006733,0.006733,0.006733
35,759.617,1.16102,0.75217,0.8805,0.54338,0.41461,0.43122,0.2621,1.18718,0.84267,0.88367,0.006634,0.006634,0.006634
36,780.741,1.15281,0.75433,0.88394,0.5485,0.41692,0.4331,0.26482,1.1796,0.84281,0.88463,0.006535,0.006535,0.006535
