epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8397,1.84304,2.71266,1.06201,0.36561,0.14396,0.11371,0.06106,1.66656,1.5687,1.00074,0.0033251,0.0033251,0.0033251
2,87.5811,1.78055,1.67662,1.02841,0.2149,0.1898,0.1436,0.07801,1.71838,1.44904,0.99916,0.00659252,0.00659252,0.00659252
3,127.527,1.76541,1.58578,1.02622,0.23766,0.22107,0.17206,0.0928,1.66471,1.47588,0.99629,0.00979393,0.00979393,0.00979393
4,166.335,1.75698,1.54829,1.01513,0.33234,0.18978,0.18335,0.10081,1.62573,1.3782,0.98565,0.009703,0.009703,0.009703
5,205.713,1.68815,1.46663,1.00365,0.28985,0.22909,0.19476,0.10487,1.64171,1.33523,0.9876,0.009604,0.009604,0.009604
6,244.458,1.67082,1.41433,0.99224,0.32562,0.24373,0.21837,0.11964,1.59156,1.27217,0.96665,0.009505,0.009505,0.009505
7,283.517,1.63324,1.36257,0.98516,0.31009,0.25115,0.22255,0.12185,1.57309,1.24851,0.96955,0.009406,0.009406,0.009406
8,322.544,1.61019,1.33196,0.97951,0.33368,0.24784,0.2299,0.12959,1.52831,1.22619,0.95477,0.009307,0.009307,0.009307
9,361.361,1.60116,1.30886,0.97308,0.33952,0.25279,0.23895,0.13478,1.50537,1.20973,0.95032,0.009208,0.009208,0.009208
10,400.112,1.58732,1.28241,0.9701,0.3299,0.26193,0.23671,0.13342,1.5272,1.20336,0.95655,0.009109,0.009109,0.009109
11,438.922,1.57186,1.2653,0.96472,0.36048,0.25259,0.247,0.13704,1.50282,1.18102,0.95459,0.00901,0.00901,0.00901
12,477.946,1.549,1.23906,0.96435,0.34681,0.2614,0.23504,0.1342,1.49915,1.18585,0.9443,0.008911,0.008911,0.008911
13,516.852,1.56598,1.24233,0.96254,0.35323,0.28327,0.25724,0.14325,1.4703,1.14544,0.94301,0.008812,0.008812,0.008812
