epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5995,1.61578,2.07644,1.02254,0.26436,0.25673,0.21312,0.12438,1.42204,1.25952,0.93781,0.00330065,0.00330065,0.00330065
2,37.1951,1.53716,1.27965,0.9619,0.30146,0.29242,0.24504,0.1377,1.46953,1.35282,0.93922,0.00656831,0.00656831,0.00656831
3,53.5379,1.54993,1.24685,0.96268,0.26525,0.26308,0.20838,0.11429,1.55581,1.78229,0.96559,0.00976997,0.00976997,0.00976997
4,69.7897,1.56815,1.22803,0.9636,0.34788,0.24743,0.23495,0.12789,1.53362,1.33304,0.96204,0.009703,0.009703,0.009703
5,85.9118,1.52154,1.17878,0.95738,0.3435,0.27007,0.25521,0.14525,1.48803,1.17873,0.95602,0.009604,0.009604,0.009604
6,102.179,1.47501,1.12525,0.95033,0.33801,0.28073,0.24611,0.14177,1.47782,1.19205,0.93596,0.009505,0.009505,0.009505
7,118.296,1.45306,1.0949,0.93771,0.34794,0.28769,0.26242,0.14927,1.44402,1.19031,0.93693,0.009406,0.009406,0.009406
8,134.28,1.43451,1.08796,0.93774,0.3874,0.29365,0.27957,0.15874,1.43396,1.11153,0.93212,0.009307,0.009307,0.009307
9,150.531,1.42484,1.06292,0.93098,0.36485,0.29424,0.27327,0.15563,1.41394,1.16502,0.93639,0.009208,0.009208,0.009208
10,166.65,1.41587,1.0416,0.93149,0.41194,0.30269,0.29438,0.17251,1.41764,1.12023,0.92745,0.009109,0.009109,0.009109
11,182.726,1.39721,1.03994,0.92947,0.42424,0.31005,0.30719,0.17793,1.38377,1.07428,0.92349,0.00901,0.00901,0.00901
12,198.816,1.40028,1.0178,0.92597,0.42555,0.32557,0.31511,0.17735,1.40223,1.0789,0.92233,0.008911,0.008911,0.008911
13,215.067,1.38401,1.00195,0.92,0.43345,0.32211,0.32001,0.18287,1.36671,1.03897,0.91592,0.008812,0.008812,0.008812
14,231.001,1.35484,0.99078,0.91389,0.43311,0.32011,0.31811,0.18359,1.38757,1.03895,0.92474,0.008713,0.008713,0.008713
15,247.175,1.36696,0.98978,0.91852,0.40561,0.33194,0.31785,0.18338,1.34667,1.03003,0.91286,0.008614,0.008614,0.008614
16,263.238,1.33921,0.97001,0.91708,0.45449,0.33393,0.34104,0.19867,1.3195,1.00327,0.91156,0.008515,0.008515,0.008515
17,279.317,1.34471,0.97903,0.91261,0.46337,0.3419,0.34678,0.20337,1.31598,0.98495,0.90729,0.008416,0.008416,0.008416
18,295.508,1.31683,0.94795,0.91147,0.46519,0.33566,0.34056,0.2,1.32026,0.99321,0.90474,0.008317,0.008317,0.008317
19,311.654,1.32236,0.94926,0.91042,0.45763,0.34029,0.34276,0.20102,1.31953,0.98319,0.91345,0.008218,0.008218,0.008218
20,327.852,1.32384,0.94066,0.90877,0.45927,0.34852,0.34963,0.20194,1.31705,0.97576,0.91037,0.008119,0.008119,0.008119
21,343.744,1.30739,0.92228,0.909,0.47083,0.35677,0.35962,0.21202,1.30236,0.96736,0.90634,0.00802,0.00802,0.00802
22,359.629,1.33157,0.93271,0.90487,0.44443,0.34502,0.34466,0.20183,1.32163,0.96559,0.90748,0.007921,0.007921,0.007921
23,375.505,1.29675,0.92265,0.90588,0.44813,0.35349,0.34896,0.20708,1.30399,0.96496,0.90264,0.007822,0.007822,0.007822
24,391.597,1.30079,0.92454,0.90548,0.46853,0.34362,0.3495,0.2073,1.28962,0.9575,0.89977,0.007723,0.007723,0.007723
25,407.635,1.31223,0.91683,0.90603,0.45843,0.35053,0.35291,0.20901,1.27967,0.95889,0.90191,0.007624,0.007624,0.007624
26,423.625,1.28113,0.89695,0.90149,0.46102,0.36298,0.3534,0.2062,1.29844,0.95641,0.90524,0.007525,0.007525,0.007525
27,439.612,1.28474,0.89783,0.90163,0.47261,0.35371,0.36111,0.21428,1.29305,0.94977,0.9033,0.007426,0.007426,0.007426
28,455.793,1.28206,0.90385,0.89998,0.48284,0.35779,0.36516,0.21729,1.27695,0.93475,0.8982,0.007327,0.007327,0.007327
29,471.94,1.28198,0.88756,0.89879,0.48285,0.35196,0.35657,0.21143,1.29198,0.95874,0.90217,0.007228,0.007228,0.007228
30,488.092,1.2757,0.88285,0.90095,0.47286,0.35191,0.35841,0.21348,1.27227,0.95794,0.89948,0.007129,0.007129,0.007129
31,504.349,1.27713,0.89044,0.89678,0.45681,0.35804,0.35689,0.21236,1.27049,0.94696,0.89833,0.00703,0.00703,0.00703
32,520.512,1.27111,0.88024,0.8997,0.46412,0.35238,0.35492,0.21061,1.28219,0.95808,0.89947,0.006931,0.006931,0.006931
33,536.489,1.25971,0.87086,0.89524,0.47114,0.36465,0.36785,0.21785,1.27477,0.93637,0.89622,0.006832,0.006832,0.006832
34,552.47,1.25514,0.85766,0.89467,0.4792,0.36826,0.37645,0.22334,1.26757,0.9169,0.89752,0.006733,0.006733,0.006733
35,568.399,1.27137,0.87095,0.89638,0.48149,0.36663,0.37237,0.21888,1.26122,0.92039,0.89504,0.006634,0.006634,0.006634
36,584.492,1.2561,0.8675,0.899,0.4893,0.37073,0.3782,0.22495,1.26186,0.91099,0.8959,0.006535,0.006535,0.006535
37,601.77,1.25157,0.86163,0.89315,0.48329,0.3797,0.38111,0.22625,1.25719,0.91641,0.89537,0.006436,0.006436,0.006436
38,618.234,1.23466,0.84367,0.89095,0.49751,0.36601,0.37906,0.22638,1.25529,0.91602,0.8935,0.006337,0.006337,0.006337
39,634.113,1.25252,0.85241,0.89255,0.49629,0.36597,0.37572,0.22272,1.25803,0.92298,0.89406,0.006238,0.006238,0.006238
40,649.966,1.23596,0.83893,0.88977,0.48066,0.36981,0.37658,0.22306,1.25046,0.91686,0.89178,0.006139,0.006139,0.006139
41,665.862,1.24673,0.83765,0.89108,0.50324,0.36854,0.38255,0.22811,1.25267,0.90933,0.89221,0.00604,0.00604,0.00604
42,681.93,1.25789,0.84521,0.8852,0.48532,0.3772,0.3815,0.22558,1.25511,0.91228,0.89222,0.005941,0.005941,0.005941
43,697.908,1.23295,0.8291,0.88767,0.49624,0.3712,0.3806,0.22565,1.25468,0.91439,0.89271,0.005842,0.005842,0.005842
44,713.976,1.23335,0.83134,0.88781,0.48645,0.38349,0.38222,0.22853,1.24295,0.90703,0.89088,0.005743,0.005743,0.005743
45,730.049,1.22232,0.81677,0.88908,0.49872,0.3661,0.37806,0.22443,1.25612,0.92183,0.89454,0.005644,0.005644,0.005644
