epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4932,1.38219,1.72531,0.96567,0.41432,0.31391,0.30837,0.18721,1.24339,1.00509,0.905,0.00330065,0.00330065,0.00330065
2,70.9064,1.35602,1.07244,0.93256,0.42913,0.31912,0.32005,0.19402,1.28862,1.44713,0.91356,0.00656831,0.00656831,0.00656831
3,105.309,1.39737,1.0774,0.9438,0.3784,0.28772,0.27393,0.15373,1.48398,1.721,0.97116,0.00976997,0.00976997,0.00976997
4,139.291,1.43441,1.08157,0.95432,0.38366,0.25329,0.25615,0.14549,1.43332,1.29764,0.96397,0.009703,0.009703,0.009703
5,173.199,1.38574,1.0328,0.9478,0.40093,0.29776,0.29516,0.17382,1.37285,1.12417,0.95095,0.009604,0.009604,0.009604
6,207.224,1.33856,0.97883,0.94032,0.45051,0.31625,0.32005,0.18715,1.3202,1.06409,0.92749,0.009505,0.009505,0.009505
7,241.092,1.30482,0.94209,0.92559,0.43112,0.34133,0.3306,0.19438,1.31172,1.0397,0.93337,0.009406,0.009406,0.009406
8,275.088,1.29183,0.93493,0.92685,0.4631,0.3389,0.34626,0.20366,1.30028,1.00677,0.92262,0.009307,0.009307,0.009307
9,308.971,1.2778,0.90632,0.91857,0.48345,0.3663,0.37278,0.22093,1.25541,0.96065,0.91094,0.009208,0.009208,0.009208
10,342.925,1.26637,0.88421,0.92068,0.48736,0.38563,0.38811,0.23249,1.25765,0.94529,0.91023,0.009109,0.009109,0.009109
11,376.927,1.2439,0.87904,0.9192,0.4929,0.37625,0.38213,0.23192,1.23658,0.91933,0.91037,0.00901,0.00901,0.00901
12,410.789,1.24659,0.85539,0.91277,0.53201,0.3781,0.40133,0.23839,1.23617,0.89073,0.90442,0.008911,0.008911,0.008911
13,444.857,1.22989,0.8365,0.90829,0.50128,0.39884,0.40482,0.24091,1.20849,0.88553,0.90291,0.008812,0.008812,0.008812
14,478.779,1.19878,0.82817,0.90043,0.52056,0.39447,0.40677,0.24414,1.22149,0.88876,0.90387,0.008713,0.008713,0.008713
15,512.739,1.20817,0.82183,0.90289,0.52105,0.39645,0.41004,0.24698,1.20405,0.88025,0.89529,0.008614,0.008614,0.008614
16,546.684,1.1849,0.80043,0.90282,0.5134,0.40464,0.42099,0.25707,1.1795,0.86561,0.89381,0.008515,0.008515,0.008515
17,580.879,1.18426,0.80843,0.89613,0.53032,0.39685,0.41213,0.25244,1.18757,0.86157,0.89841,0.008416,0.008416,0.008416
18,614.773,1.16147,0.78171,0.89723,0.54495,0.40857,0.42737,0.26146,1.17765,0.84895,0.89164,0.008317,0.008317,0.008317
19,648.706,1.16754,0.77962,0.89741,0.55548,0.40769,0.4311,0.26136,1.18433,0.84226,0.89478,0.008218,0.008218,0.008218
20,682.543,1.16793,0.77478,0.89405,0.53072,0.42041,0.43421,0.26411,1.17618,0.84203,0.89346,0.008119,0.008119,0.008119
21,716.371,1.15187,0.755,0.89517,0.53719,0.41179,0.43618,0.26803,1.1598,0.83042,0.88855,0.00802,0.00802,0.00802
22,750.45,1.16847,0.75839,0.88895,0.53965,0.42307,0.43661,0.26713,1.17632,0.82987,0.88953,0.007921,0.007921,0.007921
23,784.251,1.13755,0.74751,0.89094,0.55527,0.42143,0.44108,0.27024,1.15545,0.82484,0.88706,0.007822,0.007822,0.007822
24,818.354,1.13692,0.74571,0.88969,0.54774,0.42474,0.44117,0.2732,1.14958,0.81427,0.88407,0.007723,0.007723,0.007723
25,852.254,1.14759,0.74264,0.89087,0.56423,0.4196,0.44662,0.27329,1.14751,0.81864,0.88658,0.007624,0.007624,0.007624
26,886.202,1.11917,0.71986,0.88493,0.54384,0.42881,0.44333,0.27209,1.15736,0.82937,0.88933,0.007525,0.007525,0.007525
27,919.937,1.11894,0.7194,0.88518,0.55549,0.42422,0.44551,0.27547,1.14608,0.81182,0.88489,0.007426,0.007426,0.007426
28,953.867,1.11728,0.72268,0.88317,0.56439,0.42347,0.44698,0.27526,1.1429,0.80986,0.88544,0.007327,0.007327,0.007327
